日期,指数代码,指数名称,成交额(元),涨跌幅(%),主力净流入(元),较上一交易日成交额(元),近三交易日成交额(元),近三日大单净额(元)
20251118,885514.TI,京津冀一体化,,,,,,
20251118,884163.TI,人工景点,,,,,,
20251118,885728.TI,人工智能,,,,,,
20251118,886069.TI,人形机器人,,,,,,
20251118,885840.TI,人民币贬值受益,,,,,,
20251118,885759.TI,人脸识别,,,,,,
20251118,885839.TI,人造肉,,,,,,
20251118,885904.TI,代糖概念,,,,,,
20251118,884192.TI,仪器仪表,,,,,,
20251118,885856.TI,仿制药一致性评价,,,,,,
20251118,884233.TI,休闲食品,,,,,,
20251118,399698.SZ,优势成长,,,,,,
20251118,885946.TI,传感器,,,,,,
20251118,883960.TI,低价股,,,,,,
20251118,883415.TI,低市净率,,,,,,
20251118,883413.TI,低市盈率,,,,,,
20251118,886067.TI,低空经济,,,,,,
20251118,884202.TI,住宅开发,,,,,,
20251118,884243.TI,体外诊断,,,,,,
20251118,884258.TI,体育,,,,,,
20251118,885615.TI,体育产业,,,,,,
20251118,883403.TI,佛山,,,,,,
20251118,886016.TI,供销社,,,,,,
20251118,885964.TI,俄乌冲突概念,,,,,,
20251118,RTS.GI,俄罗斯RTS,,,,,,
20251118,881156.TI,保险,,,,,,
20251118,883934.TI,保险重仓,,,,,,
20251118,886013.TI,信创,,,,,,
20251118,885814.TI,信托概念,,,,,,
20251118,883923.TI,信托重仓,,,,,,
20251118,885921.TI,储能,,,,,,
20251118,881270.TI,元件,,,,,,
20251118,885934.TI,元宇宙,,,,,,
20251118,885461.TI,充电桩,,,,,,
20251118,883433.TI,先进制造,,,,,,
20251118,886009.TI,先进封装,,,,,,
20251118,884306.TI,光伏加工设备,,,,,,
20251118,885920.TI,光伏建筑一体化,,,,,,
20251118,885531.TI,光伏概念,,,,,,
20251118,884303.TI,光伏电池组件,,,,,,
20251118,881279.TI,光伏设备,,,,,,
20251118,884305.TI,光伏辅材,,,,,,
20251118,886054.TI,光刻机,,,,,,
20251118,885864.TI,光刻胶,,,,,,
20251118,884096.TI,光学元件,,,,,,
20251118,881122.TI,光学光电子,,,,,,
20251118,886011.TI,光热发电,,,,,,
20251118,886084.TI,光纤概念,,,,,,
20251118,885898.TI,免税店,,,,,,
20251118,000993.SH,全指信息,,,,,,
20251118,000991.SH,全指医药,,,,,,
20251118,000989.SH,全指可选,,,,,,
20251118,000988.CSI,全指工业,,,,,,
20251118,000987.SH,全指材料,,,,,,
20251118,000990.CSI,全指消费,,,,,,
20251118,000986.SH,全指能源,,,,,,
20251118,884200.TI,公交,,,,,,
20251118,399244.SZ,公共指数,,,,,,
20251118,000007.SH,公用指数,,,,,,
20251118,881149.TI,公路铁路运输,,,,,,
20251118,885747.TI,共享单车,,,,,,
20251118,885924.TI,共同富裕示范区,,,,,,
20251118,886033.TI,共封装光学(CPO),,,,,,
20251118,886101.TI,兵装重组概念,,,,,,
20251118,884082.TI,其他专用设备,,,,,,
20251118,884277.TI,其他养殖,,,,,,
20251118,884011.TI,其他农产品加工,,,,,,
20251118,884034.TI,其他化学制品,,,,,,
20251118,884025.TI,其他化学原料,,,,,,
20251118,884245.TI,其他医疗服务,,,,,,
20251118,884046.TI,其他塑料制品,,,,,,
20251118,884140.TI,其他家居用品,,,,,,
20251118,884186.TI,其他小金属,,,,,,
20251118,884062.TI,其他建材,,,,,,
20251118,884050.TI,其他橡胶制品,,,,,,
20251118,884292.TI,其他汽车零部件,,,,,,
20251118,884240.TI,其他生物制品,,,,,,
20251118,881123.TI,其他电子,,,,,,
20251118,884312.TI,其他电池,,,,,,
20251118,881282.TI,其他电源设备,,,,,,
20251118,881179.TI,其他社会服务,,,,,,
20251118,884003.TI,其他种植业,,,,,,
20251118,884044.TI,其他纤维,,,,,,
20251118,884132.TI,其他纺织,,,,,,
20251118,884221.TI,其他自动化设备,,,,,,
20251118,884207.TI,其他计算机设备,,,,,,
20251118,884106.TI,其他运输设备,,,,,,
20251118,884265.TI,其他通信设备,,,,,,
20251118,884074.TI,其他通用设备,,,,,,
20251118,884119.TI,其他酒类,,,,,,
20251118,884056.TI,其他金属新材料,,,,,,
20251118,884126.TI,其他食品,,,,,,
20251118,884118.TI,其他黑色家电,,,,,,
20251118,881102.TI,养殖业,,,,,,
20251118,885522.TI,养老概念,,,,,,
20251118,883442.TI,养老金持股,,,,,,
20251118,885808.TI,养鸡,,,,,,
20251118,882020.TI,内蒙古,,,,,,
20251118,885700.TI,军工,,,,,,
20251118,886076.TI,军工信息化,,,,,,
20251118,881276.TI,军工电子,,,,,,
20251118,881166.TI,军工装备,,,,,,
20251118,885743.TI,军民融合,,,,,,
20251118,885812.TI,农业种植,,,,,,
20251118,884012.TI,农业综合,,,,,,
20251118,881103.TI,农产品加工,,,,,,
20251118,881263.TI,农化制品,,,,,,
20251118,884252.TI,农商行,,,,,,
20251118,885706.TI,农机,,,,,,
20251118,885629.TI,农村电商,,,,,,
20251118,399231.SZ,农林指数,,,,,,
20251118,884078.TI,农用机械,,,,,,
20251118,884028.TI,农药,,,,,,
20251118,884112.TI,冰洗,,,,,,
20251118,885825.TI,冰雪产业,,,,,,
20251118,884214.TI,冶钢原料,,,,,,
20251118,885502.TI,冷链物流,,,,,,
20251118,885961.TI,净水概念,,,,,,
20251118,883420.TI,减持新规(不可减持),,,,,,
20251118,883921.TI,减持计划,,,,,,
20251118,886051.TI,减肥药,,,,,,
20251118,886008.TI,减速器,,,,,,
20251118,884176.TI,出版,,,,,,
20251118,399354.SZ,分析师指,,,,,,
20251118,884090.TI,分立器件,,,,,,
20251118,399019.SZ,创业200,,,,,,
20251118,399012.SZ,创业300,,,,,,
20251118,399018.SZ,创业创新,,,,,,
20251118,399640.SZ,创业基础,,,,,,
20251118,399020.SZ,创业小盘,,,,,,
20251118,399673.SZ,创业板50,,,,,,
20251118,399606.SZ,创业板R,,,,,,
20251118,470006.SZ,创业板R(港币)(CNH),,,,,,
20251118,470007.SZ,创业板R(美元)(CNH),,,,,,
20251118,399006.SZ,创业板指,,,,,,
20251118,970006.SZ,创业板指(港币)(CNH),,,,,,
20251118,970007.SZ,创业板指(美元)(CNH),,,,,,
20251118,399102.SZ,创业板综,,,,,,
20251118,883424.TI,创业科创板昨日涨停,,,,,,
20251118,883911.TI,创历史新高,,,,,,
20251118,885413.TI,创投,,,,,,
20251118,399050.SZ,创新引擎,,,,,,
20251118,886015.TI,创新药,,,,,,
20251118,399269.SZ,创质量,,,,,,
20251118,884073.TI,制冷空调设备,,,,,,
20251118,399233.SZ,制造指数,,,,,,
20251118,883928.TI,券商重仓,,,,,,
20251118,885944.TI,动力电池回收,,,,,,
20251118,884013.TI,动物保健,,,,,,
20251118,885846.TI,动物疫苗,,,,,,
20251118,884236.TI,包装,,,,,,
20251118,881138.TI,包装印刷,,,,,,
20251118,885740.TI,化债概念(AMC概念),,,,,,
20251118,884272.TI,化妆品,,,,,,
20251118,884144.TI,化学制剂,,,,,,
20251118,881109.TI,化学制品,,,,,,
20251118,881140.TI,化学制药,,,,,,
20251118,881108.TI,化学原料,,,,,,
20251118,881264.TI,化学纤维,,,,,,
20251118,885967.TI,化肥,,,,,,
20251118,882002.TI,北京,,,,,,
20251118,931023.CSI,北京50,,,,,,
20251118,899050.BJ,北证50,,,,,,
20251118,885757.TI,区块链,,,,,,
20251118,399286.SZ,区块链50,,,,,,
20251118,881144.TI,医疗器械,,,,,,
20251118,885539.TI,医疗器械概念,,,,,,
20251118,885883.TI,医疗废物处理,,,,,,
20251118,881175.TI,医疗服务,,,,,,
20251118,884244.TI,医疗研发外包,,,,,,
20251118,884273.TI,医疗美容,,,,,,
20251118,884242.TI,医疗耗材,,,,,,
20251118,884145.TI,医疗设备,,,,,,
20251118,885913.TI,医美概念,,,,,,
20251118,883435.TI,医药医疗,,,,,,
20251118,881143.TI,医药商业,,,,,,
20251118,884199.TI,医药流通,,,,,,
20251118,885661.TI,医药电商,,,,,,
20251118,884301.TI,医院,,,,,,
20251118,881121.TI,半导体,,,,,,
20251118,884091.TI,半导体材料,,,,,,
20251118,884229.TI,半导体设备,,,,,,
20251118,886091.TI,华为手机,,,,,,
20251118,886093.TI,华为数字能源,,,,,,
20251118,886058.TI,华为昇腾,,,,,,
20251118,885806.TI,华为概念,,,,,,
20251118,885982.TI,华为欧拉,,,,,,
20251118,885834.TI,华为汽车,,,,,,
20251118,885843.TI,华为海思概念股,,,,,,
20251118,886094.TI,华为盘古,,,,,,
20251118,885980.TI,华为鲲鹏,,,,,,
20251118,885574.TI,卫星导航,,,,,,
20251118,884092.TI,印制电路板,,,,,,
20251118,884235.TI,印刷,,,,,,
20251118,884081.TI,印刷包装机械,,,,,,
20251118,884130.TI,印染,,,,,,
20251118,884143.TI,原料药,,,,,,
20251118,881174.TI,厨卫电器,,,,,,
20251118,885623.TI,参股保险,,,,,,
20251118,885620.TI,参股券商,,,,,,
20251118,885835.TI,参股银行,,,,,,
20251118,886065.TI,可控核聚变,,,,,,
20251118,885748.TI,可燃冰,,,,,,
20251118,883981.TI,可转债指数,,,,,,
20251118,885901.TI,可降解塑料,,,,,,
20251118,884212.TI,合成树脂,,,,,,
20251118,886077.TI,合成生物,,,,,,
20251118,882016.TI,吉林,,,,,,
20251118,886045.TI,同花顺中特估100,,,,,,
20251118,883421.TI,同花顺全A(沪深),,,,,,
20251118,883957.TI,同花顺全A(沪深京),1945959300000.0,,,,1945959300000.0,
20251118,886075.TI,同花顺出海50,,,,,,
20251118,883404.TI,同花顺情绪指数,,,,,,
20251118,883426.TI,同花顺拟回购指数,,,,,,
20251118,886096.TI,同花顺新质50,,,,,,
20251118,886082.TI,同花顺果指数,,,,,,
20251118,885916.TI,同花顺漂亮100,,,,,,
20251118,883910.TI,同花顺热股,,,,,,
20251118,883980.TI,含可转债,,,,,,
20251118,883436.TI,周期,,,,,,
20251118,884230.TI,品牌消费电子,,,,,,
20251118,884247.TI,商业地产,,,,,,
20251118,000005.SH,商业指数,,,,,,
20251118,884162.TI,商业物业经营,,,,,,
20251118,886078.TI,商业航天,,,,,,
20251118,399242.SZ,商务指数,,,,,,
20251118,884101.TI,商用载客车,,,,,,
20251118,884100.TI,商用载货车,,,,,,
20251118,884189.TI,啤酒,,,,,,
20251118,885780.TI,啤酒概念,,,,,,
20251118,882028.TI,四川,,,,,,
20251118,886089.TI,回购增持再贷款概念,,,,,,
20251118,883929.TI,回购计划,,,,,,
20251118,885410.TI,固废处理,,,,,,
20251118,884269.TI,固废治理,,,,,,
20251118,886032.TI,固态电池,,,,,,
20251118,885844.TI,国产操作系统,,,,,,
20251118,885795.TI,国产航母,,,,,,
20251118,886021.TI,国企改革,,,,,,
20251118,931052.CSI,国信价值,,,,,,
20251118,885893.TI,国家大基金持股,,,,,,
20251118,884249.TI,国有大型银行,,,,,,
20251118,399311.SZ,国证1000,,,,,,
20251118,399303.SZ,国证2000,,,,,,
20251118,399312.SZ,国证300,,,,,,
20251118,399310.SZ,国证A50,,,,,,
20251118,399317.SZ,国证A指,,,,,,
20251118,399318.SZ,国证B指,,,,,,
20251118,399358.SZ,国证环保,,,,,,
20251118,885977.TI,国资云,,,,,,
20251118,885439.TI,土地流转,,,,,,
20251118,885962.TI,土壤修复,,,,,,
20251118,885480.TI,在线教育,,,,,,
20251118,885692.TI,地下管网,,,,,,
20251118,399241.SZ,地产指数,,,,,,
20251118,884182.TI,地面兵装,,,,,,
20251118,884295.TI,垂直应用软件,,,,,,
20251118,885854.TI,垃圾分类,,,,,,
20251118,884251.TI,城商行,,,,,,
20251118,885937.TI,培育钻石,,,,,,
20251118,885578.TI,基因测序,,,,,,
20251118,399995.SZ,基建工程,,,,,,
20251118,000925.CSI,基本面50,,,,,,
20251118,884067.TI,基础建设,,,,,,
20251118,883406.TI,基金重仓股,,,,,,
20251118,881265.TI,塑料制品,,,,,,
20251118,883904.TI,增发募集指数,,,,,,
20251118,883903.TI,增发预案指数,,,,,,
20251118,883915.TI,增持计划,,,,,,
20251118,884035.TI,复合肥,,,,,,
20251118,881283.TI,多元金融,,,,,,
20251118,886062.TI,多模态AI,,,,,,
20251118,884267.TI,大气治理,,,,,,
20251118,883417.TI,大盘股,,,,,,
20251118,885810.TI,大豆,,,,,,
