,code,股票简称,最新价,最新涨跌幅,涨停,几天几板,a股市值(不含限售股),首次涨停时间,最终涨停时间,连续涨停天数,涨停原因类别,涨停封单量,涨停封单额,涨停封单量占成交量比,涨停开板次数,涨停日期
13,002651,利君股份,11.86,10.018552876,涨停,首板涨停,6706398800.0, 09:31:21, 09:31:21,1,重大合同+商业航天+粉磨设备+军工,9280700,110069102.0,28.927613017628463,0,20251201
14,600284,浦东建设,8.07,9.945504087,涨停,首板涨停,7829965900.0, 10:46:19, 10:46:19,1,上海国资+园区运营+基建设计+车路协同,7977203,64376028.21,21.305073328102413,0,20251201
15,002787,华源控股,11.78,9.990662932,涨停,首板涨停,2955132100.0, 09:32:15, 09:32:15,1,回购+芯片+电池结构件+金属包装,6856298,80767190.44,70.70331061906019,0,20251201
16,688260,昀冢科技,51.3,20,涨停,3天2板,6156000000.0, 11:08:44, 11:27:17,1,消费电子+电子陶瓷+汽车电子,1226380,62913294.0,5.1294468217133895,2,20251201
17,002356,赫美集团,4.57,10.120481928,涨停,首板涨停,5992398900.0, 09:30:42, 10:26:33,1,风光制氢+氢电共享+三季报扭亏+零售,11970200,54703814.0,8.47312697472941,5,20251201
18,603327,福蓉科技,10.99,10.01001001,涨停,首板涨停,10962455600.0, 10:39:18, 10:39:18,1,AI手机+AI眼镜+铝结构件+国企改革,7192338,79043794.62,12.822579372751818,0,20251201
19,000859,国风新材,8.39,9.96068152,涨停,9天5板,7516813000.0, 13:04:30, 13:34:03,1,拟收购金张科技+柔性屏+光刻胶+膜材料+国企改革,6938199,58211489.61,3.3614709157773657,6,20251201
20,002983,芯瑞达,23.85,10.009225092,涨停,2天2板,3055864000.0, 09:44:57, 09:46:45,2,MiniLED+AI眼镜+车载显示+回购,8602494,205169481.9,47.237179071122846,2,20251201
21,603778,国晟科技,12.75,10.008628128,涨停,16天11板,8196428600.0, 09:36:21, 13:24:51,3,固态电池+孚悦科技+光伏组件+异质结,4211100,53691525.0,2.461714424770247,30,20251201
22,002578,闽发铝业,4.44,9.900990099,涨停,首板涨停,3823561800.0, 10:03:21, 10:03:21,1,铝型材+海峡两岸+国企改革,20318200,90212808.0,27.544424742290403,0,20251201
23,002625,光启技术,49.68,10.008857396,涨停,首板涨停,107039571000.0, 09:49:18, 11:18:03,1,商业航天+超材料+军工装备+指数调入,1460116,72538562.88,1.809542894966735,45,20251201
24,002792,通宇通讯,26.16,10.008410429,涨停,3天3板,8721848800.0, 09:25:00, 09:25:00,3,投资凌空天行+商业航天+卫星通信+射频器件+CPO,40185950,1051264452.0,1301.969836872884,0,20251201
25,000691,*ST亚太,10.44,5.030181087,涨停,5天5板,3374938800.0, 09:25:00, 09:25:00,5,重整受理+无偿捐赠+精细化工+ST板块,5207900,54370476.0,665.1213282247764,0,20251201
26,603803,瑞斯康达,11.43,10.009624639,涨停,首板涨停,4856419100.0, 09:36:00, 10:32:57,1,F5G+全光核心交换机+光网络+智算中心,4199500,48000285.0,7.742322098924992,1,20251201
27,603933,睿能科技,25.32,9.991311903,涨停,3天3板,5255028600.0, 09:31:14, 09:31:14,3,人形机器人+芯片分销+工业自动化+国产替代,4500844,113961370.08,36.352243724356285,0,20251201
28,002702,海欣食品,7.96,9.944751381,涨停,4天4板,3651600300.0, 09:35:51, 09:39:06,4,海峡两岸+山姆渠道+火锅丸滑+常温新品,12161967,96809257.32,10.340586708048624,3,20251201
29,002881,美格智能,45.87,10,涨停,首板涨停,8344852500.0, 10:23:39, 10:23:39,1,端侧AI+AI眼镜+人形机器人+卫星物联网,1604536,73600066.32,12.747364425347088,0,20251201
30,603121,华培动力,17.59,10.006253909,涨停,首板涨停,5954808000.0, 13:50:01, 13:50:01,1,人形机器人+传感器+军工+回购,7216364,126935842.76,32.71000260497371,0,20251201
31,603559,ST通脉,8.61,5,涨停,首板涨停,3454994800.0, 09:30:25, 14:37:28,1,ST板块+通信服务+减亏改善+时空大数据,70700,608727.0,1.9203085531140505,2,20251201
32,002413,雷科防务,8.43,10.052219321,涨停,6天5板,10900659300.0, 09:25:00, 09:25:00,2,商业航天+毫米波雷达+存储芯片+卫星导航,40890280,344705060.4,82.43594555176345,0,20251201
33,000530,冰山冷热,6.77,10.081300813,涨停,首板涨停,4062280700.0, 14:24:18, 14:24:18,1,冰雪经济+冷热设备+储能热管理+军工,13178854,89220841.58,19.565557852836246,0,20251201
34,002789,*ST建艺,11.12,5.004721435,涨停,首板涨停,1739903000.0, 13:13:15, 14:51:48,1,珠海国资+建筑装饰+石材产业链+ST板块,88300,981896.0,1.1754932944963483,1,20251201
35,002611,东方精工,20.24,10,涨停,首板涨停,20284482000.0, 09:30:00, 09:30:00,1,人形机器人+重大出售+智能装备+军工,11493430,232627023.2,22.91055182503635,0,20251201
36,000829,天音控股,11.36,9.970958374,涨停,首板涨停,11634113000.0, 10:33:00, 10:47:30,1,定增获批+智能终端销售+彩票+国企,6433687,73086684.32,7.808352161047173,1,20251201
37,001234,泰慕士,31.59,9.993036212,涨停,首板涨停,2891132600.0, 09:32:00, 09:32:00,1,服装贴牌+广州国资拟入主+控制权拟变更,1087478,34353430.02,18.68126657942267,0,20251201
38,600981,苏豪汇鸿,3.39,10.064935065,涨停,2天2板,7601848500.0, 14:15:13, 14:30:40,2,大宗贸易+跨境电商+江苏国资+扭亏为盈,6999500,23728305.0,4.307105196904703,1,20251201
39,300223,北京君正,95.28,20,涨停,首板涨停,40071949000.0, 14:50:00, 14:50:00,1,存储芯片+端侧AI+DRAM涨价+车规级芯片,4201990,400365607.2,5.92474707318631,0,20251201
40,002519,银河电子,5.65,9.922178988,涨停,2天2板,6321137900.0, 09:25:00, 09:30:12,2,商业航天+军工+智能终端+新能源,31419940,177522661.0,26.726069765722837,1,20251201
41,300903,科翔股份,20.28,20,涨停,首板涨停,6658434900.0, 09:39:06, 09:39:06,1,800G光模块+AI服务器+存储芯片+PCB,8451582,171398082.96,20.879368767578775,0,20251201
42,603068,博通集成,42.55,10.005170631,涨停,首板涨停,6400582300.0, 09:30:19, 09:32:40,1,AI眼镜+豆包+AIoT芯片+三季报扭亏,1941165,82596570.75,17.087288375725016,1,20251201
43,000004,*ST国华,12.36,5.012744265,涨停,3天3板,1560916800.0, 10:38:39, 14:53:48,3,移动安全+AI大模型+鸿蒙+ST板块,103000,1273080.0,1.1105719984904847,12,20251201
44,002888,惠威科技,22.89,9.995194618,涨停,3天2板,1714987900.0, 11:00:09, 11:00:09,1,音响龙头+华为概念+三季报增长,3441938,78785960.82,20.079762781506776,0,20251201
45,002108,沧州明珠,5.17,10,涨停,首板涨停,8517565700.0, 09:44:18, 09:44:18,1,半固态电池+隔膜+实控人拟变更,22784486,117795792.62,28.667612067035687,0,20251201
46,603828,ST柯利达,7.38,4.978662873,涨停,首板涨停,4398034400.0, 13:24:19, 13:24:19,1,股权转让+装配化装修+光伏建筑一体化+ST板块,871500,6431670.0,15.65628674915844,0,20251201
47,000547,航天发展,14.86,9.992598075,涨停,12天8板,23602891000.0, 09:30:36, 09:30:36,2,商业航天+孙公司增资扩股+央企+海峡两岸,33233390,493848175.4,23.311338409912235,0,20251201
48,002563,森马服饰,6.68,10.049423394,涨停,首板涨停,14752395000.0, 09:35:39, 09:35:39,1,童装+疯狂动物城联名+IP经济+冬装,11492200,76767896.0,17.24665074205605,0,20251201
49,605081,*ST太和,10.48,5.01002004,涨停,3天2板,1186829310.0, 10:32:44, 11:02:23,1,ST板块+水环境修复+业绩亏损,421495,4417267.6,8.665971461784771,1,20251201
50,000078,海王生物,3.74,10,涨停,4天4板,9822889900.0, 13:17:09, 13:41:18,4,创新药+流感+医药流通+民营龙头,10439107,39042260.18,1.9538755704531972,6,20251201
51,300638,广和通,32.38,20.014825797,涨停,首板涨停,17256162000.0, 10:35:57, 11:07:27,1,端侧AI+AI眼镜+机器人+H股上市,6961114,225400871.32,4.7765554223000075,1,20251201
52,000036,华联控股,4.74,9.976798144,涨停,首板涨停,6641455700.0, 10:00:21, 10:00:21,1,盐湖提锂+房地产+新能源转型+AI 眼镜,8922162,42291047.88,15.007365283336336,0,20251201
53,000816,智慧农业,3.94,10.055865922,涨停,首板涨停,5659536100.0, 09:35:42, 09:35:42,1,金属铜+智慧农业+储能+外销占比高,17511869,68996763.86,16.945433158537895,0,20251201
54,001318,阳光乳业,17.57,10.018785222,涨停,2天2板,4966336200.0, 09:33:15, 09:33:15,2,低温乳品+冷链物流,20901200,367234084.0,81.32749355039964,0,20251201
55,002114,罗平锌电,9.02,10,涨停,5天3板,2916985200.0, 09:32:57, 09:47:42,1,铅锌+锗矿+复产+曲靖国资,4365699,39378604.98,7.720772641241255,1,20251201
56,002540,亚太科技,7.22,10.06097561,涨停,首板涨停,6289093500.0, 09:41:27, 09:41:27,1,汽车铝材+军工+收购欧洲+绿电项目,9036600,65244252.0,31.401452168610017,0,20251201
57,002981,朝阳科技,32.57,9.996622763,涨停,首板涨停,3889311200.0, 14:13:09, 14:13:09,1,AI耳机+A客户三星+机器人连接器+三季报增长,2797070,91100569.9,30.40106115199205,0,20251201
58,603077,和邦生物,2.41,10.0456621,涨停,首板涨停,21283653000.0, 09:39:24, 09:46:15,1,矿业+磷矿+草甘膦,28819902,69455963.82,8.295084645683076,1,20251201
59,603268,*ST松发,76.82,5.002733734,涨停,2天2板,9538647200.0, 13:04:20, 13:04:20,2,船舶制造+VLCC大单+政府补助,136120,10456738.4,4.785913690413405,0,20251201
60,000727,冠捷科技,2.89,9.885931559,涨停,首板涨停,13090448600.0, 11:11:30, 13:49:27,1,AI耳机+消费电子+央企,26430216,76383324.24,6.5256789169012075,1,20251201
61,000049,德赛电池,29.58,10.003718855,涨停,首板涨停,11374541200.0, 09:41:06, 10:40:15,1,AI眼镜+消费电子+固态电池+储能+SIP封装,753953,22301929.74,1.802136716844802,2,20251201
62,002778,中晟高科,24.09,10,涨停,首板涨停,2973398300.0, 09:31:45, 09:31:45,1,储能+环保+国资+扭亏,2010080,48422827.2,52.0781192515558,0,20251201
63,000007,全新好,10.87,10.020242915,涨停,首板涨停,3765890200.0, 13:01:03, 13:01:03,1,物业租赁+汽车销售+大健康+三季报增长,2585550,28104928.5,15.442345203412454,0,20251201
64,003018,金富科技,22.57,9.990253411,涨停,6天6板,2211384300.0, 09:25:00, 09:25:00,6,拟收购蓝原科技+塑料瓶盖+第二主业布局,3504175,79089229.75,50.44500667599987,0,20251201
65,600289,ST信通,6.7,5.015673981,涨停,首板涨停,3791682000.0, 09:25:04, 09:25:04,1,化解违规担保+AI智算+聚酯薄膜转型+ST板块,2848563,19085372.1,119.36468467426545,0,20251201
66,301148,嘉戎技术,39.64,20.012110203,涨停,首板涨停,2333728900.0, 09:25:00, 09:25:00,1,拟收购杭州蓝然+膜分离技术+锂电回收+核电废水,3253180,128956055.2,338.36360894278926,0,20251201
67,600568,ST中珠,2.85,5.166051661,涨停,14天9板,4756841700.0, 09:32:08, 09:32:08,2,步步高入股+ST板块+医药收缩+三季报减亏,10670300,30410355.0,46.22262799571714,0,20251201
68,600734,实达集团,5.59,10.039370079,涨停,8天6板,12174198900.0, 11:10:44, 11:10:44,1,拟收购数产名商+智算中心+福建国资+IT服务,24889669,139133249.71,3.89778588488351,0,20251201
69,002862,实丰文化,25.1,9.991235758,涨停,首板涨停,3168822700.0, 09:25:00, 09:38:45,1,AI玩具+IP潮玩+小游戏出海,2772526,69590402.6,13.533328920704077,1,20251201
70,600977,中国电影,19.02,10.00578369,涨停,2天2板,35510340000.0, 09:25:03, 09:25:03,2,影视院线+《疯狂动物城2》+IP经济+央企,22368272,425444533.44,116.35822332808354,0,20251201
71,603928,兴业股份,17.07,9.987113402,涨停,首板涨停,4473705600.0, 13:53:50, 14:30:14,1,光刻胶+铸造树脂+半年报增长,2091280,35698149.6,7.931285052648186,1,20251201
72,000888,峨眉山A,14.16,10.023310023,涨停,首板涨停,7461089500.0, 09:25:00, 09:34:51,1,股东回馈+自然景点+国企改革,13024250,184423380.0,25.99936276433717,2,20251201
73,003003,天元股份,14.44,9.977151561,涨停,首板涨停,1700978900.0, 10:04:42, 10:04:42,1,绿色包装+可降解塑料+跨境电商+海外业务,7297000,105368680.0,80.61201944321697,0,20251201
74,301567,贝隆精密,55.63,19.995685936,涨停,首板涨停,1181572860.0, 10:13:54, 10:21:03,1,AR/VR眼镜+VCM马达+精密结构件,1234500,68675235.0,13.587707246931291,3,20251201
75,603557,ST起步,2.76,4.942965779,涨停,2天2板,1720685800.0, 09:25:03, 09:25:03,2,无偿受赠股权+童装童鞋+婴童延伸+ST板块,12889800,35575848.0,1300.686175580222,0,20251201
